Date,Stock Price,Inflation Rate (%),Annual Change Inflation,Exchange_Rate,Money Supply M1,,,Productivity,,,Date,Productivity ,
12/31/2024,98915.19,27.64,5.77,1371.818108,32304932.67,,,0.385336147,,,12/31/2024,0.385336147,
12/31/2023,61143.92,21.87,3.02,636.2844615,24145631.77,,,1.093017523,,,12/31/2023,1.093017523,
12/31/2022,48549.35,18.85,1.89,422.7206154,20364441.74,,,2.108243618,,,12/31/2022,2.108243618,
12/31/2021,40035.03,16.95,3.71,399.6118774,16424097.15,,,1.254905898,,,12/31/2021,1.254905898,
12/31/2020,27114.84,13.25,1.85,357.9338314,12728323.53,,,2.006058338,,,12/31/2020,2.006058338,
12/31/2019,28859.28,11.4,-0.7,306.824375,11066514.66,,,27.50233245,,,12/31/2019,27.50233245,
12/31/2018,37407.52,12.1,-4.41,306.5204215,10908949.08,,,-2.957738357,,,12/31/2018,-2.957738357,
12/31/2017,31775.3,16.5,0.81,308.1955385,10291534.69,,,3.452238511,,,12/31/2017,3.452238511,
12/31/2016,26549.63,15.7,6.69,256.0541762,9608333.292,,,0.85881697,,,12/31/2016,0.85881697,
12/31/2015,30819.45,9.01,0.96,197.867433,7004042.696,,,8.820022686,,,12/31/2015,8.820022686,
12/31/2014,39258.73,8.05,-0.45,165.1532184,7178584.789,,,53.68965769,,,12/31/2014,53.68965769,
12/31/2013,35826.62,8.5,-3.73,159.2248659,6695767.804,,,-9.696463629,,,12/31/2013,-9.696463629,
12/31/2012,23434.32,12.22,1.4,158.8226437,6621232.875,,,5.031036725,,,12/31/2012,5.031036725,
12/31/2011,30533.39,10.83,-2.91,155.9467308,5772542.315,,,-9.465355422,,,12/31/2011,-9.465355422,
12/31/2010,21379.79,13.74,1.2,151.0894636,5100220.229,,,4.681228519,,,12/31/2010,4.681228519,
12/31/2009,19936.25,12.54,0.96,149.9238697,4559136.986,,,5.410271753,,,12/31/2009,5.410271753,
12/31/2008,43364.6,11.58,6.19,119.0785878,4202224.983,,,4.373853369,,,12/31/2008,4.373853369,
12/31/2007,41949.05,5.39,-2.84,125.6989655,2729286.225,,,-33.64990468,,,12/31/2007,-33.64990468,
12/31/2006,23548.35,8.23,-9.64,128.4082692,2114934.825,,,-2.579015262,,,12/31/2006,-2.579015262,
12/31/2005,19751.83,17.86,2.87,132.075,1488883.117,,,2.163686324,,,12/31/2005,2.163686324,
12/31/2004,21347.7,15,0.97,133.6967433,1230775.733,,,5.403470407,,,12/31/2004,5.403470407,
12/31/2003,13480.12,14.03,1.16,131.9630651,1183622.033,,,3.370776378,,,12/31/2003,3.370776378,
12/31/2002,10113.17,12.88,-6,121.9651737,883161.35,,,-1.287554443,,,12/31/2002,-1.287554443,
12/31/2001,8872.99,18.87,11.94,115.115,758433.9125,,,0.315668973,,,12/31/2001,0.315668973,
12/31/2000,5886.72,6.93,0.31,104.7324231,509213.1583,,,6.191383386,,,12/31/2000,6.191383386,
12/31/1999,4654.95,6.62,-3.38,,362897.1925,,,,,,,,
12/31/1998,5252.89,10,1.47,,285800.8867,,,,,,,,
12/31/1997,6690.01,8.53,-20.74,,244792.4108,,,,,,,,
12/31/1996,5246.98,29.27,-43.57,,209943.4383,,,,,,,,
12/31/1995,3412.6,72.84,15.8,,176150.2425,,,,,,,,
12/31/1994,1782.34,57.03,-0.13,,136375.7025,,,,,,,,
12/31/1993,1195.81,57.17,12.58,,94763.51667,,,,,,,,
12/31/1992,940.3,44.59,31.58,,75970.27,,,,,,,,
12/31/1991,717.89,13.01,5.64,,50071.7,,,,,,,,
12/31/1990,505.28,7.36,-43.1,,39156.2,,,,,,,,
12/31/1989,376.81,50.47,-4.04,,26268.8,,,,,,,,
12/31/1988,322.69,54.51,43.22,,22232.1,,,,,,,,
12/31/1987,293.57,11.29,5.57,,15195.7,,,,,,,,
12/31/1986,270.27,5.72,-1.72,,13560.4,,,,,,,,
12/31/1985,242.31,7.44,-10.39,,13878,,,,,,,,
12/31/1984,98915.19,17.82,-5.39,,12497.1,,,,,,,,
12/31/1983,98915.19,23.21,15.51,,11517.8,,,,,,,,
12/31/1982,98915.19,7.7,-13.12,,10291.8,,,,,,,,
12/31/1981,98915.19,20.81,10.84,,9915.3,,,,,,,,
12/31/1980,98915.19,9.97,-1.74,,9650.7,,,,,,,,
12/31/1979,98915.19,11.71,-10,,6351.5,,,,,,,,
12/31/1978,98915.19,21.71,6.62,,5260.7,,,,,,,,
12/31/1977,98915.19,15.09,-9.21,,5557.8,,,,,,,,
12/31/1976,98915.19,24.3,-9.66,,3864.1,,,,,,,,
12/31/1975,98915.19,33.96,21.29,,2605.4,,,,,,,,
12/31/1974,98915.19,12.67,7.27,,1357.2,,,,,,,,
12/31/1973,98915.19,5.4,1.95,,925.8,,,,,,,,
12/31/1972,98915.19,3.46,-12.54,,747.4,,,,,,,,
12/31/1971,98915.19,16,2.24,,670,,,,,,,,
12/31/1970,98915.19,13.76,3.6,,641.5,,,,,,,,
12/31/1969,98915.19,10.16,10.63,,444.99,,,,,,,,
12/31/1968,98915.19,-0.48,3.25,,331.76,,,,,,,,
12/31/1967,98915.19,-3.73,-13.42,,320.09,,,,,,,,
12/31/1966,98915.19,9.69,5.59,,355.62,,,,,,,,
12/31/1965,98915.19,4.1,3.25,,326.36,,,,,,,,
12/31/1964,98915.19,0.86,3.55,,316.06,,,,,,,,
12/31/1963,98915.19,-2.69,-7.96,,267.55,,,,,,,,
12/31/1962,98915.19,5.27,-1.01,,242.14,,,,,,,,
12/31/1961,98915.19,6.28,0.83,,222.32,,,,,,,,
12/31/1960,98915.19,5.44,5.77,,217.61,,,,,,,,
